tag,x,y
left,-45.6304,35.3629
left,-46.335,32.6887
left,-46.5037,29.929
left,-47.0494,26.3513
left,-47.2499,23.1868
left,-47.1696,19.9034
left,-47.5037,16.3513
left,-47.8376,13.5665
left,-47.9303,11.3604
left,-47.9712,8.35126
left,-45.5037,3.35127
left,-42.9327,2.50575
left,-41.085,1.84053
left,-39.5037,1.35127
left,-38.0309,0.351263
left,-37.2996,-0.285214
left,-36.7331,-1.06243
left,-36.0935,-2.38086
left,-35.5037,-3.64873
left,-32.9132,-6.64873
left,-29.5832,-7.53744
left,-26.8416,-7.58556
left,-23.7944,-7.64806
left,-21.9291,-7.7359
left,-20.8802,-7.74288
left,-19.6418,-8.60711
left,-18.398,-10.0858
left,-16.4386,-13.0137
left,-14.1274,-15.4903
left,-12.2741,-17.4998
left,-9.81672,-20.6798
left,-7.35063,-23.3456
left,-4.59462,-25.8097
left,-2.56202,-27.6299
left,-0.872662,-28.9165
left,0.947283,-30.0934
left,2.77998,-31.0149
left,4.92793,-31.6487
left,6.42516,-31.8667
left,8.38956,-31.962
left,10.1389,-31.1258
left,12.1057,-29.5252
left,13.8634,-27.8772
left,16.1707,-28.0923
left,17.3683,-29.8552
left,18.3296,-32.7331
left,21.1938,-34.7775
left,24.7779,-35.6927
left,27.4963,-35.6487
left,35.4963,-34.6487
left,38.1504,-31.6498
left,40.7024,-28.3474
left,42.7352,-25.5257
left,44.8072,-22.603
left,46.2403,-18.9935
left,44.9795,-16.2195
left,45.0992,-13.8947
left,45.9557,-11.8262
left,47.4557,-9.12896
left,48.2797,-6.64314
left,48.1045,-4.19274
left,46.973,-1.88481
left,44.8547,0.769583
left,42.3663,3.11414
left,41.3157,4.96992
left,40.8385,7.03441
left,40.4531,9.83505
left,39.7564,13.5821
left,37.5243,17.782
left,34.1696,21.3641
left,31.2916,24.0056
left,29.691,25.2616
left,25.803,27.3338
left,22.0805,29.3513
left,18.3222,31.3339
left,14.6284,33.3781
left,10.9069,35.3903
left,7.19651,37.3911
left,3.46295,39.3787
left,-0.55781,41.4811
left,-5.87614,43.1801
left,-10.9162,42.0497
left,-15.4942,39.9386
left,-19.3572,38.3138
left,-21.4112,37.9542
left,-25.0953,38.6135
left,-28.7947,38.9648
left,-31.6469,39.0471
left,-32.6866,39.0355
left,-36.9867,38.7875
left,-41.3526,38.5524
left,-45.6304,35.3629
right,-40.927,32.5484
right,-41.6281,31.1207
right,-41.8296,28.9371
right,-42.1556,25.8226
right,-42.3489,23.249
right,-42.2537,20.3541
right,-42.5037,17.3513
right,-42.9875,14.3643
right,-43.2016,11.4237
right,-43.1743,9.75299
right,-42.9866,9.26927
right,-42.7252,8.92131
right,-40.9746,8.72215
right,-39.0248,8.11018
right,-36.5037,6.35127
right,-34.9765,4.88639
right,-33.8082,4.33242
right,-32.4042,3.57254
right,-31.5037,1.94376
right,-31.1129,1.04038
right,-30.3725,0.399498
right,-29.1732,0.184985
right,-26.3761,0.157101
right,-23.6403,0.099576
right,-21.0672,-0.178344
right,-18.5037,-0.648733
right,-15.5037,-2.64873
right,-14.145,-4.8647
right,-12.0133,-7.67523
right,-9.98623,-10.1263
right,-8.41111,-12.5617
right,-6.16247,-14.9785
right,-3.88,-17.7651
right,-1.3971,-20.1076
right,-0.235409,-21.7046
right,1.00574,-23.3676
right,2.49627,-25.1453
right,3.66717,-25.9442
right,5.61486,-26.4508
right,7.70197,-25.9254
right,9.70869,-24.6136
right,11.8481,-22.8537
right,14.8311,-21.5926
right,17.0984,-22.3859
right,19.4666,-24.3725
right,20.8581,-26.6697
right,22.4963,-29.2415
right,25.0418,-30.1816
right,27.4963,-30.1959
right,29.0274,-30.4739
right,31.2598,-30.4426
right,34.2702,-27.6915
right,36.7999,-25.2195
right,38.2693,-22.9871
right,39.6828,-20.9644
right,40.3137,-19.0028
right,39.4108,-15.5144
right,39.6266,-11.9101
right,40.5873,-9.52872
right,41.7756,-7.38306
right,42.1735,-6.33613
right,42.0827,-5.09306
right,40.6768,-3.47293
right,37.7569,-0.732893
right,35.7285,2.59291
right,34.7884,5.92064
right,34.4557,9.00244
right,34.044,11.6356
right,32.598,14.2564
right,29.9958,17.1566
right,27.3319,19.4918
right,26.5701,20.1937
right,22.9637,22.065
right,19.1615,24.1361
right,15.4514,26.1157
right,11.8081,27.9783
right,8.27062,29.9648
right,4.31752,32.0265
right,0.566566,34.0277
right,-2.9041,35.93
right,-6.22164,37.1138
right,-8.95004,36.3694
right,-13.0358,34.4934
right,-17.4728,32.5353
right,-21.6504,31.8567
right,-25.9342,32.6136
right,-29.227,32.948
right,-31.7292,33.0026
right,-32.4264,32.9858
right,-36.8154,32.7846
right,-40.927,32.5484
big,-38.4975,38.7708
big,-38.8979,38.7664
big,-38.5078,32.843
big,-38.883,32.8603
